"Season","Competition","Matchday","Date","Venue","Club","Opponent","Playing_Position","Minute","At_score","Type","Goal_assist","Home","Away","Result","Injury_Time"
"15/16","LaLiga","13",2015-11-28,"H","FC Barcelona","Real Sociedad","RW",90,"4:00","Left-footed shot","Neymar",4,0,"Win",1
"15/16","UEFA Champions League","Group Stage",2015-12-09,"A","FC Barcelona","Bayer 04 Leverkusen","CF ",20,"0:01","Right-footed shot","Ivan Rakitic",1,1,"Tie",NA
"15/16","LaLiga","15",2015-12-12,"H","FC Barcelona","Deportivo de La Coruaa","RW",39,"1:00","Direct free kick","No Assist",2,2,"Tie",NA
"15/16","FIFA Club World Cup","Final",2015-12-20,"A","FC Barcelona","CA River Plate","RW",36,"0:01","Left-footed shot","Neymar",0,3,"Win",NA
"15/16","LaLiga","17",2015-12-30,"H","FC Barcelona","Real Betis Balompie","RW ",33,"2:00","Right-footed shot","Neymar",4,0,"Win",NA
"15/16","Copa del Rey","last 16",2016-01-06,"H","FC Barcelona","RCD Espanyol Barcelona","RW",13,"1:01","Left-footed shot","Andres Iniesta",4,1,"Win",NA
"15/16","Copa del Rey","last 16",2016-01-06,"H","FC Barcelona","RCD Espanyol Barcelona","RW",44,"2:01","Direct free kick","No Assist",4,1,"Win",NA
"15/16","LaLiga","19",2016-01-09,"H","FC Barcelona","Granada CF","RW ",8,"1:00","Left-footed shot","Arda Turan",4,0,"Win",NA
"15/16","LaLiga","19",2016-01-09,"H","FC Barcelona","Granada CF","RW ",14,"2:00","Left-footed shot","Luis Suarez",4,0,"Win",NA
"15/16","LaLiga","19",2016-01-09,"H","FC Barcelona","Granada CF","RW ",58,"3:00","Tap-in","No Assist",4,0,"Win",NA
"15/16","LaLiga","20",2016-01-17,"H","FC Barcelona","Athletic Bilbao","RW",7,"1:00","Penalty","No Assist",6,0,"Win",NA
"15/16","LaLiga","21",2016-01-23,"A","FC Barcelona","Malaga CF","RW",51,"1:02","Left-footed shot","Adriano",1,2,"Win",NA
"15/16","LaLiga","22",2016-01-30,"H","FC Barcelona","Atletico de Madrid","RW",30,"1:01","Left-footed shot","Jordi Alba",2,1,"Win",NA
"15/16","Copa del Rey","Semi-Finals",2016-02-03,"H","FC Barcelona","Valencia CF","RW",29,"3:00","Left-footed shot","Neymar",7,0,"Win",NA
"15/16","Copa del Rey","Semi-Finals",2016-02-03,"H","FC Barcelona","Valencia CF","RW",59,"4:00","Left-footed shot","Luis Suarez",7,0,"Win",NA
"15/16","Copa del Rey","Semi-Finals",2016-02-03,"H","FC Barcelona","Valencia CF","RW",74,"5:00","Left-footed shot","No Assist",7,0,"Win",NA
"15/16","LaLiga","24",2016-02-14,"H","FC Barcelona","Celta de Vigo","RW",28,"1:00","Direct free kick","No Assist",6,1,"Win",NA
"15/16","LaLiga","16",2016-02-17,"A","FC Barcelona","Sporting GijÃ³n","RW ",25,"0:01","Left-footed shot","Luis Suarez",1,3,"Win",NA
"15/16","LaLiga","16",2016-02-17,"A","FC Barcelona","Sporting GijÃ³n","RW ",31,"1:02","Left-footed shot","Luis Suarez",1,3,"Win",NA
"15/16","UEFA Champions League","last 16",2016-02-23,"A","FC Barcelona","Arsenal FC","RW",71,"0:01","Left-footed shot","Neymar",0,2,"Win",NA
"15/16","UEFA Champions League","last 16",2016-02-23,"A","FC Barcelona","Arsenal FC","RW",83,"0:02","Penalty","No Assist",0,2,"Win",NA
"15/16","LaLiga","26",2016-02-28,"H","FC Barcelona","Sevilla FC","RW ",31,"1:01","Direct free kick","No Assist",2,1,"Win",NA
"15/16","LaLiga","27",2016-03-03,"A","FC Barcelona","Rayo Vallecano","RW",23,"0:02","Left-footed shot","Neymar",1,5,"Win",NA
"15/16","LaLiga","27",2016-03-03,"A","FC Barcelona","Rayo Vallecano","RW",53,"0:03","Left-footed shot","No Assist",1,5,"Win",NA
"15/16","LaLiga","27",2016-03-03,"A","FC Barcelona","Rayo Vallecano","RW",72,"1:04","Left-footed shot","Sergio Busquets",1,5,"Win",NA
"15/16","LaLiga","28",2016-03-06,"A","FC Barcelona","SD Eibar","RW ",42,"0:02","Left-footed shot","Munir El Haddadi",0,4,"Win",NA
"15/16","LaLiga","28",2016-03-06,"A","FC Barcelona","SD Eibar","RW ",76,"0:03","Penalty","No Assist",0,4,"Win",NA
"15/16","LaLiga","29",2016-03-12,"H","FC Barcelona","Getafe CF","CF",41,"4:00","Left-footed shot","Arda Turan",6,0,"Win",NA
"15/16","UEFA Champions League","last 16",2016-03-16,"H","FC Barcelona","Arsenal FC","RW",86,"3:01","Left-footed shot","Neymar",3,1,"Win",NA
"15/16","LaLiga","33",2016-04-17,"H","FC Barcelona","Valencia CF","RW",63,"1:02","Left-footed shot","Jordi Alba",1,2,"Loss",NA
"15/16","LaLiga","34",2016-04-20,"A","FC Barcelona","Deportivo de La Coruaa","RW",73,"0:06","Left-footed shot","Luis Suarez",0,8,"Win",NA
"15/16","LaLiga","35",2016-04-23,"H","FC Barcelona","Sporting GijÃ³n","RW",13,"1:00","Header","No Assist",6,0,"Win",NA
"15/16","LaLiga","37",2016-05-08,"H","FC Barcelona","RCD Espanyol Barcelona","RW",8,"1:00","Direct free kick","No Assist",5,0,"Win",NA
"16/17","Supercopa","final",2016-08-17,"H","FC Barcelona","Sevilla FC","RW ",55,"3:00","Header","Lucas Digne",3,0,"Win",NA
"16/17","LaLiga","1",2016-08-20,"H","FC Barcelona","Real Betis Balompie","RW ",37,"2:01","Left-footed shot","Sergi Roberto",6,2,"Win",NA
"16/17","LaLiga","1",2016-08-20,"H","FC Barcelona","Real Betis Balompie","RW ",58,"5:01","Left-footed shot","Arda Turan",6,2,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-09-13,"H","FC Barcelona","Celtic FC","RW ",3,"1:00","Left-footed shot","Neymar",7,0,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-09-13,"H","FC Barcelona","Celtic FC","RW ",27,"2:00","Left-footed shot","Neymar",7,0,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-09-13,"H","FC Barcelona","Celtic FC","RW ",60,"5:00","Left-footed shot","Luis Suarez",7,0,"Win",NA
"16/17","LaLiga","4",2016-09-17,"A","FC Barcelona","CD Leganes","RW",15,"0:01","Left-footed shot","Luis Suarez",1,5,"Win",NA
"16/17","LaLiga","4",2016-09-17,"A","FC Barcelona","CD Leganes","RW",55,"0:04","Penalty","No Assist",1,5,"Win",NA
"16/17","LaLiga","8",2016-10-15,"H","FC Barcelona","Deportivo de La Coruaa","RW",58,"4:00","Left-footed shot","Neymar",4,0,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-10-19,"H","FC Barcelona","Manchester City","RW",17,"1:00","Left-footed shot","Andres Iniesta",4,0,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-10-19,"H","FC Barcelona","Manchester City","RW",61,"2:00","Left-footed shot","Andres Iniesta",4,0,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-10-19,"H","FC Barcelona","Manchester City","RW",69,"3:00","Left-footed shot","Luis Suarez",4,0,"Win",NA
"16/17","LaLiga","9",2016-10-22,"A","FC Barcelona","Valencia CF","RW",22,"0:01","Left-footed shot","Ivan Rakitic",2,3,"Win",NA
"16/17","LaLiga","9",2016-10-22,"A","FC Barcelona","Valencia CF","RW",90,"2:03","Penalty","No Assist",2,3,"Win",4
"16/17","UEFA Champions League","Group Stage",2016-11-01,"A","FC Barcelona","Manchester City","RW ",21,"0:01","Left-footed shot","Neymar",3,1,"Loss",NA
"16/17","LaLiga","11",2016-11-06,"A","FC Barcelona","Sevilla FC","RW ",43,"1:01","Left-footed shot","Neymar",1,2,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-11-23,"A","FC Barcelona","Celtic FC","RW ",24,"0:01","Left-footed shot","Neymar",0,2,"Win",NA
"16/17","UEFA Champions League","Group Stage",2016-11-23,"A","FC Barcelona","Celtic FC","RW ",55,"0:02","Penalty","No Assist",0,2,"Win",NA
"16/17","LaLiga","13",2016-11-27,"A","FC Barcelona","Real Sociedad","RW ",59,"1:01","Left-footed shot","Neymar",1,1,"Tie",NA
"16/17","UEFA Champions League","Group Stage",2016-12-06,"H","FC Barcelona","Borussia MÃ¶nchengladbach","RW",16,"1:00","Left-footed shot","Arda Turan",4,0,"Win",NA
"16/17","LaLiga","15",2016-12-10,"A","FC Barcelona","CA Osasuna","RW",72,"0:02","Left-footed shot","Jordi Alba",0,3,"Win",NA
"16/17","LaLiga","15",2016-12-10,"A","FC Barcelona","CA Osasuna","RW",90,"0:03","Left-footed shot","Sergio Busquets",0,3,"Win",2
"16/17","LaLiga","16",2016-12-18,"H","FC Barcelona","RCD Espanyol Barcelona","RW",90,"4:01","Left-footed shot","Luis Suarez",4,1,"Win",NA
"16/17","Copa del Rey","last 16",2017-01-05,"A","FC Barcelona","Athletic Bilbao","RW",52,"2:01","Direct free kick","No Assist",2,1,"Loss",NA
"16/17","LaLiga","17",2017-01-08,"A","FC Barcelona","Villarreal CF","RW",90,"1:01","Direct free kick","No Assist",1,1,"Tie",NA
"16/17","Copa del Rey","last 16",2017-01-11,"H","FC Barcelona","Athletic Bilbao","RW",78,"3:01","Direct free kick","No Assist",3,1,"Win",NA
"16/17","LaLiga","18",2017-01-14,"H","FC Barcelona","UD Las Palmas","RW ",52,"2:00","Right-footed shot","No Assist",5,0,"Win",NA
"16/17","LaLiga","19",2017-01-22,"A","FC Barcelona","SD Eibar","RW ",50,"0:02","Left-footed shot","Luis Suarez",0,4,"Win",NA
"16/17","Copa del Rey","Quarter-Finals",2017-01-26,"H","FC Barcelona","Real Sociedad","RW ",55,"2:00","Penalty","No Assist",5,2,"Win",NA
"16/17","Copa del Rey","Semi-Finals",2017-02-01,"A","FC Barcelona","Atletico de Madrid","RW ",33,"0:02","Left-footed shot","Ivan Rakitic",1,2,"Win",NA
"16/17","LaLiga","21",2017-02-04,"H","FC Barcelona","Athletic Bilbao","RW ",40,"2:00","Direct free kick","No Assist",3,0,"Win",NA
"16/17","LaLiga","22",2017-02-11,"A","FC Barcelona","Deportivo Alaves","RW ",59,"0:03","Left-footed shot","Neymar",0,6,"Win",NA
"16/17","LaLiga","23",2017-02-19,"H","FC Barcelona","CD Leganes","RW",4,"1:00","Right-footed shot","Luis Suarez",2,1,"Win",NA
"16/17","LaLiga","23",2017-02-19,"H","FC Barcelona","CD Leganes","RW",90,"2:01","Penalty","No Assist",2,1,"Win",NA
"16/17","LaLiga","24",2017-02-26,"A","FC Barcelona","Atletico de Madrid","RW",86,"1:02","Left-footed shot","No Assist",1,2,"Win",NA
"16/17","LaLiga","25",2017-03-01,"H","FC Barcelona","Sporting GijÃ³n","RW ",9,"1:00","Header","Javier Mascherano",6,1,"Win",NA
"16/17","LaLiga","26",2017-03-04,"H","FC Barcelona","Celta de Vigo","AM ",24,"1:00","Left-footed shot","Sergio Busquets",5,0,"Win",NA
"16/17","LaLiga","26",2017-03-04,"H","FC Barcelona","Celta de Vigo","AM ",64,"5:00","Left-footed shot","No Assist",5,0,"Win",NA
"16/17","UEFA Champions League","last 16",2017-03-08,"H","FC Barcelona","Paris Saint-Germain","AM",50,"3:00","Penalty","No Assist",6,1,"Win",NA
"16/17","LaLiga","28",2017-03-19,"H","FC Barcelona","Valencia CF","AM",45,"2:01","Penalty","No Assist",4,2,"Win",NA
"16/17","LaLiga","28",2017-03-19,"H","FC Barcelona","Valencia CF","AM",53,"3:02","Right-footed shot","Javier Mascherano",4,2,"Win",NA
"16/17","LaLiga","30",2017-04-05,"H","FC Barcelona","Sevilla FC","RW",28,"2:00","Right-footed shot","Luis Suarez",3,0,"Win",NA
"16/17","LaLiga","30",2017-04-05,"H","FC Barcelona","Sevilla FC","RW",33,"3:00","Left-footed shot","No Assist",3,0,"Win",NA
"16/17","LaLiga","32",2017-04-15,"H","FC Barcelona","Real Sociedad","RW ",17,"1:00","Left-footed shot","Luis Suarez",3,2,"Win",NA
"16/17","LaLiga","32",2017-04-15,"H","FC Barcelona","Real Sociedad","RW ",37,"2:00","Tap-in","No Assist",3,2,"Win",NA
"16/17","LaLiga","33",2017-04-23,"A","FC Barcelona","Real Madrid","RW",33,"1:01","Left-footed shot","Ivan Rakitic",2,3,"Win",NA
"16/17","LaLiga","33",2017-04-23,"A","FC Barcelona","Real Madrid","RW",90,"2:03","Left-footed shot","Jordi Alba",2,3,"Win",2
"16/17","LaLiga","34",2017-04-26,"H","FC Barcelona","CA Osasuna","AM ",12,"1:00","Left-footed shot","No Assist",7,1,"Win",NA
"16/17","LaLiga","34",2017-04-26,"H","FC Barcelona","CA Osasuna","AM ",61,"4:01","Left-footed shot","Ivan Rakitic",7,1,"Win",NA
"16/17","LaLiga","36",2017-05-06,"H","FC Barcelona","Villarreal CF","RW",45,"2:01","Left-footed shot","Sergio Busquets",4,1,"Win",NA
"16/17","LaLiga","36",2017-05-06,"H","FC Barcelona","Villarreal CF","RW",82,"4:01","Penalty","No Assist",4,1,"Win",NA
"16/17","LaLiga","38",2017-05-21,"H","FC Barcelona","SD Eibar","RW",75,"3:02","Penalty","No Assist",4,2,"Win",NA
"16/17","LaLiga","38",2017-05-21,"H","FC Barcelona","SD Eibar","RW",90,"4:02","Right-footed shot","No Assist",4,2,"Win",2
"16/17","Copa del Rey","Final",2017-05-27,"H","FC Barcelona","Deportivo Alaves","RW",30,"1:00","Left-footed shot","Neymar",3,1,"Win",NA
"17/18","Supercopa","final",2017-08-13,"H","FC Barcelona","Real Madrid","RW",77,"1:01","Penalty","No Assist",1,3,"Loss",NA
"17/18","LaLiga","2",2017-08-26,"A","FC Barcelona","Deportivo Alaves","CF",55,"0:01","Left-footed shot","Jordi Alba",0,2,"Win",NA
"17/18","LaLiga","2",2017-08-26,"A","FC Barcelona","Deportivo Alaves","CF",66,"0:02","Left-footed shot","Paco Alcacer",0,2,"Win",NA
"17/18","LaLiga","3",2017-09-09,"H","FC Barcelona","RCD Espanyol Barcelona","CF",26,"1:00","Left-footed shot","Ivan Rakitic",5,0,"Win",NA
"17/18","LaLiga","3",2017-09-09,"H","FC Barcelona","RCD Espanyol Barcelona","CF",35,"2:00","Right-footed shot","Jordi Alba",5,0,"Win",NA
"17/18","LaLiga","3",2017-09-09,"H","FC Barcelona","RCD Espanyol Barcelona","CF",67,"3:00","Left-footed shot","Jordi Alba",5,0,"Win",NA
"17/18","UEFA Champions League","Group Stage",2017-09-12,"H","FC Barcelona","Juventus FC","CF",45,"1:00","Left-footed shot","Luis Suarez",3,0,"Win",NA
"17/18","UEFA Champions League","Group Stage",2017-09-12,"H","FC Barcelona","Juventus FC","CF",69,"3:00","Left-footed shot","No Assist",3,0,"Win",NA
"17/18","LaLiga","5",2017-09-19,"H","FC Barcelona","SD Eibar","CF",21,"1:00","Penalty","No Assist",6,1,"Win",NA
"17/18","LaLiga","5",2017-09-19,"H","FC Barcelona","SD Eibar","CF",59,"4:01","Left-footed shot","Sergio Busquets",6,1,"Win",NA
"17/18","LaLiga","5",2017-09-19,"H","FC Barcelona","SD Eibar","CF",62,"5:01","Left-footed shot","Paulinho",6,1,"Win",NA
"17/18","LaLiga","5",2017-09-19,"H","FC Barcelona","SD Eibar","CF",87,"6:01","Left-footed shot","Aleix Vidal",6,1,"Win",NA
"17/18","LaLiga","7",2017-10-01,"H","FC Barcelona","UD Las Palmas","SS",70,"2:00","Left-footed shot","Denis Suarez",3,0,"Win",NA
"17/18","LaLiga","7",2017-10-01,"H","FC Barcelona","UD Las Palmas","SS",77,"3:00","Left-footed shot","Luis Suarez",3,0,"Win",NA
"17/18","UEFA Champions League","Group Stage",2017-10-18,"H","FC Barcelona","Olympiacos Piraeus","CF",61,"2:00","Direct free kick","No Assist",3,1,"Win",NA
"17/18","LaLiga","10",2017-10-28,"A","FC Barcelona","Athletic Bilbao","SS ",37,"0:01","Left-footed shot","Jordi Alba",0,2,"Win",NA
"17/18","LaLiga","14",2017-12-02,"H","FC Barcelona","Celta de Vigo","SS",22,"1:01","Left-footed shot","Paulinho",2,2,"Tie",NA
"17/18","LaLiga","15",2017-12-10,"A","FC Barcelona","Villarreal CF","RW ",83,"0:02","Left-footed shot","Sergio Busquets",0,2,"Win",NA
"17/18","LaLiga","17",2017-12-23,"A","FC Barcelona","Real Madrid","SS",64,"0:02","Penalty","No Assist",0,3,"Win",NA
"17/18","LaLiga","18",2018-01-07,"H","FC Barcelona","Levante UD","SS",12,"1:00","Left-footed shot","Jordi Alba",3,0,"Win",NA
"17/18","Copa del Rey","last 16",2018-01-11,"H","FC Barcelona","Celta de Vigo","SS",13,"1:00","Left-footed shot","Jordi Alba",5,0,"Win",NA
"17/18","Copa del Rey","last 16",2018-01-11,"H","FC Barcelona","Celta de Vigo","SS",15,"2:00","Left-footed shot","Jordi Alba",5,0,"Win",NA
"17/18","LaLiga","19",2018-01-14,"A","FC Barcelona","Real Sociedad","SS ",85,"2:04","Direct free kick","No Assist",2,4,"Win",NA
"17/18","LaLiga","20",2018-01-21,"A","FC Barcelona","Real Betis Balompie","SS ",64,"0:02","Left-footed shot","Sergio Busquets",0,5,"Win",NA
"17/18","LaLiga","20",2018-01-21,"A","FC Barcelona","Real Betis Balompie","SS ",80,"0:04","Left-footed shot","Luis Suarez",0,5,"Win",NA
"17/18","Copa del Rey","Quarter-Finals",2018-01-25,"H","FC Barcelona","RCD Espanyol Barcelona","SS",25,"2:00","Deflected shot on goal","No Assist",2,0,"Win",NA
"17/18","LaLiga","21",2018-01-28,"H","FC Barcelona","Deportivo Alaves","SS",84,"2:01","Direct free kick","No Assist",2,1,"Win",NA
"17/18","UEFA Champions League","last 16",2018-02-20,"A","FC Barcelona","Chelsea FC","SS",75,"1:01","Left-footed shot","Andres Iniesta",1,1,"Tie",NA
"17/18","LaLiga","25",2018-02-24,"H","FC Barcelona","Girona FC","SS ",30,"2:01","Left-footed shot","Luis Suarez",6,1,"Win",NA
"17/18","LaLiga","25",2018-02-24,"H","FC Barcelona","Girona FC","SS ",36,"3:01","Direct free kick","No Assist",6,1,"Win",NA
"17/18","LaLiga","26",2018-03-01,"A","FC Barcelona","UD Las Palmas","SS",21,"0:01","Direct free kick","No Assist",1,1,"Tie",NA
"17/18","LaLiga","27",2018-03-04,"H","FC Barcelona","Atletico de Madrid","SS",26,"1:00","Direct free kick","No Assist",1,0,"Win",NA
"17/18","UEFA Champions League","last 16",2018-03-14,"H","FC Barcelona","Chelsea FC","SS",3,"1:00","Right-footed shot","Luis Suarez",3,0,"Win",NA
"17/18","UEFA Champions League","last 16",2018-03-14,"H","FC Barcelona","Chelsea FC","SS",63,"3:00","Left-footed shot","Luis Suarez",3,0,"Win",NA
"17/18","LaLiga","29",2018-03-18,"H","FC Barcelona","Athletic Bilbao","SS ",30,"2:00","Left-footed shot","Ousmane Dembele",2,0,"Win",NA
"17/18","LaLiga","30",2018-03-31,"A","FC Barcelona","Sevilla FC","RW",89,"2:02","Left-footed shot","Philippe Coutinho",2,2,"Tie",NA
"17/18","LaLiga","31",2018-04-07,"H","FC Barcelona","CD Leganes","SS ",27,"1:00","Direct free kick","No Assist",3,1,"Win",NA
"17/18","LaLiga","31",2018-04-07,"H","FC Barcelona","CD Leganes","SS ",32,"2:00","Left-footed shot","Philippe Coutinho",3,1,"Win",NA
"17/18","LaLiga","31",2018-04-07,"H","FC Barcelona","CD Leganes","SS ",87,"3:01","Left-footed shot","Ousmane Dembele",3,1,"Win",NA
"17/18","Copa del Rey","Final",2018-04-21,"A","FC Barcelona","Sevilla FC","SS",31,"0:02","Left-footed shot","Jordi Alba",0,5,"Win",NA
"17/18","LaLiga","35",2018-04-29,"A","FC Barcelona","Deportivo de La Coruaa","CF ",38,"0:02","Left-footed shot","Luis Suarez",2,4,"Win",NA
"17/18","LaLiga","35",2018-04-29,"A","FC Barcelona","Deportivo de La Coruaa","CF ",82,"2:03","Right-footed shot","Luis Suarez",2,4,"Win",NA
"17/18","LaLiga","35",2018-04-29,"A","FC Barcelona","Deportivo de La Coruaa","CF ",85,"2:04","Left-footed shot","Luis Suarez",2,4,"Win",NA
"17/18","LaLiga","36",2018-05-06,"H","FC Barcelona","Real Madrid","SS",52,"2:01","Left-footed shot","Luis Suarez",2,2,"Tie",NA
"17/18","LaLiga","34",2018-05-09,"H","FC Barcelona","Villarreal CF","CF",45,"3:00","Left-footed shot","Andres Iniesta",5,1,"Win",NA
"18/19","LaLiga","1",2018-08-18,"H","FC Barcelona","Deportivo Alaves","RW ",64,"1:00","Direct free kick","No Assist",3,0,"Win",NA
"18/19","LaLiga","1",2018-08-18,"H","FC Barcelona","Deportivo Alaves","RW ",90,"3:00","Left-footed shot","Luis Suarez",3,0,"Win",2
"18/19","LaLiga","3",2018-09-02,"H","FC Barcelona","SD Huesca","RW ",16,"1:01","Right-footed shot","Ivan Rakitic",8,2,"Win",NA
"18/19","LaLiga","3",2018-09-02,"H","FC Barcelona","SD Huesca","RW ",61,"6:02","Left-footed shot","Philippe Coutinho",8,2,"Win",NA
"18/19","UEFA Champions League","Group Stage",2018-09-18,"H","FC Barcelona","PSV Eindhoven","RW ",31,"1:00","Direct free kick","No Assist",4,0,"Win",NA
"18/19","UEFA Champions League","Group Stage",2018-09-18,"H","FC Barcelona","PSV Eindhoven","RW ",77,"3:00","Left-footed shot","Ivan Rakitic",4,0,"Win",NA
"18/19","UEFA Champions League","Group Stage",2018-09-18,"H","FC Barcelona","PSV Eindhoven","RW ",87,"4:00","Right-footed shot","Luis Suarez",4,0,"Win",NA
